COD_ACTE,DT_MODIF,NOM_LONG
YYYY150,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 5, r‚alis‚e en salle d'imagerie"
YYYY160,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 6, r‚alis‚e en salle d'imagerie"
YYYY170,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 7, r‚alis‚e en salle d'imagerie"
YYYY180,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 8, r‚alis‚e en salle d'imagerie"
YYYY190,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 10, r‚alis‚e en salle d'imagerie"
YYYY200,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 11, r‚alis‚e en salle d'imagerie"
YYYY210,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 12, r‚alis‚e en salle d'imagerie"
YYYY220,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 13, r‚alis‚e en salle d'imagerie"
YYYY230,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 15, r‚alis‚e en salle d'imagerie"
YYYY240,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 16, r‚alis‚e en salle d'imagerie"
YYYY245,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 17, r‚alis‚e en salle d'imagerie"
YYYY250,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 18, r‚alis‚e en salle d'imagerie"
YYYY260,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 19, r‚alis‚e en salle d'imagerie"
YYYY270,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 20, r‚alis‚e en salle d'imagerie"
YYYY280,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 21, r‚alis‚e en salle d'imagerie"
YYYY290,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 22, r‚alis‚e en salle d'imagerie"
YYYY600,2025-10-17,Suppl‚ment pour archivage num‚rique d'une mammographie ou d'un examen scanographique ou remnographique
ZBQH001,2025-10-17,"Scanographie du thorax, avec injection intraveineuse de produit de contraste"
ZBQJ001,2025-10-17,"Remnographie [IRM] du thorax, avec injection intraveineuse de produit de contraste"
ZBQK001,2025-10-17,"Scanographie du thorax, sans injection intraveineuse de produit de contraste"
ZBQN001,2025-10-17,"Remnographie [IRM] du thorax, sans injection intraveineuse de produit de contraste"
ZCQH001,2025-10-17,"Scanographie de l'abdomen et du petit bassin [pelvis], avec injection intraveineuse de produit de contraste"
ZCQH002,2025-10-17,"Scanographie de l'abdomen ou du petit bassin [pelvis], avec injection intraveineuse de produit de contraste"
ZCQJ002,2025-10-17,"Echographie-doppler du petit bassin [pelvis] f‚minin, par voie rectale et/ou vaginale[par voie cavitaire]"
ZCQJ004,2025-10-17,"Remnographie [IRM] de l'abdomen ou du petit bassin [pelvis], avec injection intraveineuse de produit de contraste"
ZCQJ005,2025-10-17,"Remnographie [IRM] de l'abdomen et du petit bassin [pelvis], avec injection intraveineuse de produit de contraste"
ZCQK003,2025-10-17,Pelvim‚trie par scanographie
ZCQK004,2025-10-17,"Scanographie de l'abdomen et du petit bassin [pelvis], sans injection intraveineuse de produit de contraste"
ZCQK005,2025-10-17,"Scanographie de l'abdomen ou du petit bassin [pelvis], sans injection intraveineuse de produit de contraste"
ZCQN001,2025-10-17,"Remnographie [IRM] de l'abdomen et du petit bassin [pelvis], sans injection intraveineuse de produit de contraste"
ZCQN002,2025-10-17,"Remnographie [IRM] de l'abdomen ou du petit bassin [pelvis], sans injection intraveineuse de produit de contraste"
ZZQH001,2025-10-17,Scanographie d'une fistule
ZZQH033,2025-10-17,"Scanographie de 3 territoires anatomiques ou plus, avec injection de produit de contraste"
ZZQK024,2025-10-17,"Scanographie de 3 territoires anatomiques ou plus, sans injection de produit de contraste"
ZZQN001,2025-10-17,Remnographie [IRM] comportant 6 s‚quences ou plus
